2025-09-03T00:01:55 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T20:09:06 | Pipeline complete | pipeline | run complete
2025-09-03T20:09:08 | Retrieved articles | US Dollar Index (DXY) | Retrieved 10 from API
2025-09-03T20:09:50 | Node relationship removed | dxy->ust5y | type=INFLUENCES
2025-09-03T20:09:51 | Node relationship created | dxy->wheat | type=INFLUENCES
2025-09-03T20:09:51 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T20:09:51 | Added article | W7GEI87ET | to existing topic dxy
2025-09-03T20:11:11 | Node relationship removed | eurusd->spx | type=INFLUENCES
2025-09-03T20:11:11 | Node relationship created | eurusd->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T20:11:12 | Replacement of article skipped | eurusd | no competing candidates in timeframe current
2025-09-03T20:11:12 | Added article | W7GEI87ET | to existing topic eurusd
2025-09-03T20:12:28 | Node relationship removed | gbpusd->usdcny | type=CORRELATES_WITH
2025-09-03T20:12:28 | Node relationship created | gbpusd->uk_30yr_gilt_yield | type=CORRELATES_WITH
2025-09-03T20:12:28 | Replacement of article skipped | gbpusd | no competing candidates in timeframe current
2025-09-03T20:12:28 | Added article | W7GEI87ET | to existing topic gbpusd
2025-09-03T20:14:43 | Relationship duplicate | fed_policy->usdjpy | type=INFLUENCES
2025-09-03T20:14:43 | Replacement of article skipped | usdjpy | no competing candidates in timeframe current
2025-09-03T20:14:43 | Added article | W7GEI87ET | to existing topic usdjpy
2025-09-03T20:16:58 | Node relationship removed | sofr->us_services_pmi | type=INFLUENCES
2025-09-03T20:16:58 | Node relationship created | sofr->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T20:16:59 | Replacement of article skipped | sofr | tf=current cnt=4 < 5
2025-09-03T20:16:59 | Added article | W7GEI87ET | to existing topic sofr
2025-09-03T20:17:52 | Node relationship removed | euro_inflation->sx5e | type=INFLUENCES
2025-09-03T20:17:52 | Node relationship created | euro_inflation->ust30y | type=INFLUENCES
2025-09-03T20:17:53 | Replacement of article skipped | euro_inflation | tf=current cnt=2 < 5
2025-09-03T20:17:53 | Added article | W7GEI87ET | to existing topic euro_inflation
2025-09-03T20:17:53 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=eurostoxx50 Error: Failed to fetch node from Neo4j: Node with id 'eurostoxx50' not found.
2025-09-03T20:17:54 | Replacement of article skipped | eurostoxx50 | tf=current cnt=0 < 5
2025-09-03T20:17:54 | Added article | W7GEI87ET | to existing topic eurostoxx50
2025-09-03T20:20:46 | Node relationship removed | bund10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:20:46 | Node relationship created | bund10y->spx | type=INFLUENCES
2025-09-03T20:20:47 | Replacement of article skipped | bund10y | tf=current cnt=3 < 5
2025-09-03T20:20:47 | Added article | W7GEI87ET | to existing topic bund10y
2025-09-03T20:21:57 | Node relationship removed | gilt10y->us_services_pmi | type=CORRELATES_WITH
2025-09-03T20:21:57 | Node relationship created | gilt10y->jgb10y | type=CORRELATES_WITH
2025-09-03T20:21:57 | Replacement of article skipped | gilt10y | no competing candidates in timeframe current
2025-09-03T20:21:57 | Added article | W7GEI87ET | to existing topic gilt10y
2025-09-03T20:23:03 | Node relationship removed | us_unemployment_claims->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T20:23:04 | Node relationship created | us_unemployment_claims->usdcny | type=INFLUENCES
2025-09-03T20:23:04 | Replacement of article skipped | us_unemployment_claims | tf=fundamental cnt=3 < 5
2025-09-03T20:23:04 | Added article | Y43LVY6MW | to existing topic us_unemployment_claims
2025-09-03T20:23:13 | Node relationship removed | fed_powell_rate_cut_hint_2025->us_services_pmi | type=INFLUENCES
2025-09-03T20:23:14 | Node relationship created | fed_powell_rate_cut_hint_2025->fed_policy | type=INFLUENCES
2025-09-03T20:23:14 | Replacement of article skipped | fed_powell_rate_cut_hint_2025 | tf=current cnt=4 < 5
2025-09-03T20:23:14 | Added article | W7GEI87ET | to existing topic fed_powell_rate_cut_hint_2025
2025-09-03T20:24:59 | Node relationship removed | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:24:59 | Node relationship created | us_inflation->us_services_pmi | type=INFLUENCES
2025-09-03T20:25:00 | Replacement of article skipped | us_inflation | no competing candidates in timeframe fundamental
2025-09-03T20:25:00 | Added article | Y43LVY6MW | to existing topic us_inflation
2025-09-03T20:25:11 | Node relationship removed | fed_rate_cut_sept17_2025->bund10y | type=INFLUENCES
2025-09-03T20:25:11 | Node relationship created | fed_rate_cut_sept17_2025->us_services_pmi | type=INFLUENCES
2025-09-03T20:25:12 | Replacement of article skipped | fed_rate_cut_sept17_2025 | tf=current cnt=4 < 5
2025-09-03T20:25:12 | Added article | W7GEI87ET | to existing topic fed_rate_cut_sept17_2025
2025-09-03T20:27:57 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T20:27:57 | Node relationship created | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:27:57 | Replacement of article skipped | fed_policy | no competing candidates in timeframe fundamental
2025-09-03T20:27:57 | Added article | O0GPNQV25 | to existing topic fed_policy
2025-09-03T20:29:39 | Node relationship removed | ust10y->uk_30yr_gilt_yield | type=INFLUENCES
2025-09-03T20:29:39 | Node relationship created | ust10y->ust30y | type=INFLUENCES
2025-09-03T20:29:40 | Replacement of article skipped | ust10y | no competing candidates in timeframe fundamental
2025-09-03T20:29:40 | Added article | O0GPNQV25 | to existing topic ust10y
2025-09-03T20:30:11 | Node relationship removed | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:30:12 | Node relationship created | fed_policy->uk_30yr_gilt_yield | type=INFLUENCES
2025-09-03T20:30:12 | Replacement of article skipped | fed_policy | no competing candidates in timeframe medium
2025-09-03T20:30:12 | Added article | 9WUI93WZT | to existing topic fed_policy
2025-09-03T20:30:49 | Node relationship removed | ust2y->us_unemployment_claims | type=INFLUENCES
2025-09-03T20:30:49 | Node relationship created | ust2y->uk_30yr_gilt_yield | type=INFLUENCES
2025-09-03T20:30:50 | Replacement of article skipped | ust2y | no competing candidates in timeframe fundamental
2025-09-03T20:30:50 | Added article | O0GPNQV25 | to existing topic ust2y
2025-09-03T20:32:25 | Node relationship removed | us_inflation->us_services_pmi | type=INFLUENCES
2025-09-03T20:32:25 | Node relationship created | us_inflation->copper | type=INFLUENCES
2025-09-03T20:32:26 | Replacement of article skipped | us_inflation | no competing candidates in timeframe medium
2025-09-03T20:32:26 | Added article | 9WUI93WZT | to existing topic us_inflation
2025-09-03T20:33:18 | Node relationship removed | spx->fed_policy | type=INFLUENCES
2025-09-03T20:33:18 | Node relationship created | spx->usdjpy | type=INFLUENCES
2025-09-03T20:33:18 | Replacement of article skipped | spx | no competing candidates in timeframe fundamental
2025-09-03T20:33:18 | Added article | O0GPNQV25 | to existing topic spx
2025-09-03T20:33:55 | Node relationship removed | ust10y->gilt10y | type=CORRELATES_WITH
2025-09-03T20:33:56 | Node relationship created | ust10y->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T20:33:56 | Replacement of article skipped | ust10y | no competing candidates in timeframe medium
2025-09-03T20:33:56 | Added article | 9WUI93WZT | to existing topic ust10y
2025-09-03T20:34:48 | Enrichment check | dxy | section=fundamental
2025-09-03T20:34:48 | Enrichment check | dxy | section=medium
2025-09-03T20:34:48 | Enrichment check | dxy | section=current
2025-09-03T20:34:49 | Enrichment summary | topic=dxy (US Dollar Index (DXY)) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T20:34:49 | Pipeline complete | pipeline | run complete
2025-09-03T20:34:50 | Retrieved articles | USD/JPY | Retrieved 0 from API
2025-09-03T20:34:50 | Enrichment check | usdjpy | section=fundamental
2025-09-03T20:34:50 | Enrichment check | usdjpy | section=medium
2025-09-03T20:34:50 | Enrichment check | usdjpy | section=current
2025-09-03T20:34:50 | Enrichment summary | topic=usdjpy (USD/JPY) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T20:34:51 | Pipeline complete | pipeline | run complete
2025-09-03T20:34:53 | Retrieved articles | US Core PCE | Retrieved 10 from API
2025-09-03T20:34:59 | Node relationship removed | gold->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:34:59 | Node relationship created | gold->usdcny | type=INFLUENCES
2025-09-03T20:34:59 | Replacement of article skipped | gold | tf=fundamental cnt=4 < 5
2025-09-03T20:34:59 | Added article | O0GPNQV25 | to existing topic gold
2025-09-03T20:36:29 | Node relationship removed | wti->euro_inflation | type=INFLUENCES
2025-09-03T20:36:29 | Node relationship created | wti->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:36:29 | Replacement of article skipped | wti | tf=fundamental cnt=4 < 5
2025-09-03T20:36:29 | Added article | O0GPNQV25 | to existing topic wti
2025-09-03T20:38:29 | Node relationship removed | us_inflation->copper | type=INFLUENCES
2025-09-03T20:38:29 | Node relationship created | us_inflation->sofr | type=INFLUENCES
2025-09-03T20:38:30 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T20:38:30 | Added article | H4TS1M82P | to existing topic us_inflation
2025-09-03T20:39:30 | Node relationship removed | fed_policy->uk_30yr_gilt_yield | type=INFLUENCES
2025-09-03T20:39:30 | Node relationship created | fed_policy->usdcny | type=INFLUENCES
2025-09-03T20:39:31 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T20:39:31 | Added article | H4TS1M82P | to existing topic fed_policy
2025-09-03T20:42:55 | Relationship duplicate | cn_russia_gas_pipeline->usdcny | type=INFLUENCES
2025-09-03T20:42:55 | Replacement of article skipped | usdcny | tf=medium cnt=4 < 5
2025-09-03T20:42:56 | Added article | 1T5L5FSL7 | to existing topic usdcny
2025-09-03T20:43:05 | Node relationship removed | fed_policy->usdcny | type=INFLUENCES
2025-09-03T20:43:05 | Node relationship created | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:43:05 | Replacement of article skipped | fed_policy | no competing candidates in timeframe fundamental
2025-09-03T20:43:05 | Added article | 9EXLIO46E | to existing topic fed_policy
2025-09-03T20:45:44 | Node relationship removed | china_exports->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:45:44 | Error | - | Relationship create error | china_exports->us_5y | type=INFLUENCES Error: Cannot create link: source or target node missing. Link: {'motivation': 'China’s export growth signals rising global demand and strengthens U.S. economic activity, which in turn lifts intermediate‑ter
2025-09-03T20:45:53 | Node relationship removed | us_inflation->ust30y | type=INFLUENCES
2025-09-03T20:45:53 | Node relationship created | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:45:53 | Replacement of article skipped | us_inflation | no competing candidates in timeframe fundamental
2025-09-03T20:45:54 | Added article | 9EXLIO46E | to existing topic us_inflation
2025-09-03T20:46:46 | Node relationship removed | us_core_pce->us_inflation | type=INFLUENCES
2025-09-03T20:46:47 | Node relationship created | us_core_pce->dxy | type=INFLUENCES
2025-09-03T20:46:47 | Replacement of article skipped | us_core_pce | tf=fundamental cnt=4 < 5
2025-09-03T20:46:47 | Added article | 9EXLIO46E | to existing topic us_core_pce
2025-09-03T20:48:17 | Node relationship removed | ust2y->gold | type=CORRELATES_WITH
2025-09-03T20:48:18 | Node relationship created | ust2y->us_services_pmi | type=CORRELATES_WITH
2025-09-03T20:48:18 | Replacement of article skipped | ust2y | no competing candidates in timeframe fundamental
2025-09-03T20:48:18 | Added article | 9EXLIO46E | to existing topic ust2y
2025-09-03T20:49:05 | Node relationship removed | ust5y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:49:05 | Relationship duplicate | oil_price_decline->ust5y | type=INFLUENCES
2025-09-03T20:49:06 | Replacement of article skipped | ust5y | no competing candidates in timeframe fundamental
2025-09-03T20:49:06 | Added article | 9EXLIO46E | to existing topic ust5y
2025-09-03T20:50:08 | Node relationship removed | ust10y->gold | type=INFLUENCES
2025-09-03T20:50:08 | Node relationship created | ust10y->copper | type=INFLUENCES
2025-09-03T20:50:08 | Replacement of article skipped | ust10y | no competing candidates in timeframe fundamental
2025-09-03T20:50:08 | Added article | 9EXLIO46E | to existing topic ust10y
2025-09-03T20:52:21 | Enrichment check | us_core_pce | section=fundamental
2025-09-03T20:52:21 | Enrichment check | us_core_pce | section=medium
2025-09-03T20:52:21 | Enrichment check | us_core_pce | section=current
2025-09-03T20:52:22 | Enrichment summary | topic=us_core_pce (US Core PCE) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T20:52:22 | Pipeline complete | pipeline | run complete
2025-09-03T20:52:23 | Retrieved articles | US Sanctions on Iranian Oil Shipping | Retrieved 10 from API
2025-09-03T20:52:30 | Node relationship removed | ust30y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T20:52:30 | Node relationship created | ust30y->us_unemployment_claims | type=INFLUENCES
2025-09-03T20:52:30 | Replacement of article skipped | ust30y | no competing candidates in timeframe fundamental
2025-09-03T20:52:30 | Added article | 9EXLIO46E | to existing topic ust30y
2025-09-03T20:53:56 | Node relationship removed | dxy->wheat | type=INFLUENCES
2025-09-03T20:53:56 | Node relationship created | dxy->us_crude_inventory | type=INFLUENCES
2025-09-03T20:53:56 | Replacement of article skipped | dxy | no competing candidates in timeframe fundamental
2025-09-03T20:53:56 | Added article | 9EXLIO46E | to existing topic dxy
2025-09-03T20:56:24 | Node relationship removed | ust10y->copper | type=INFLUENCES
2025-09-03T20:56:24 | Node relationship created | ust10y->gilt10y | type=INFLUENCES
2025-09-03T20:56:24 | Replacement of article skipped | ust10y | no competing candidates in timeframe medium
2025-09-03T20:56:25 | Added article | TRJGBEBU1 | to existing topic ust10y
2025-09-03T20:57:48 | Node relationship removed | ust2y->usdcny | type=INFLUENCES
2025-09-03T20:57:48 | Node relationship created | ust2y->bund10y | type=INFLUENCES
2025-09-03T20:57:48 | Replacement of article skipped | ust2y | no competing candidates in timeframe medium
2025-09-03T20:57:48 | Added article | TRJGBEBU1 | to existing topic ust2y
2025-09-03T20:59:21 | Relationship duplicate | oil_price_decline->ust5y | type=INFLUENCES
2025-09-03T20:59:22 | Replacement of article skipped | ust5y | no competing candidates in timeframe medium
2025-09-03T20:59:22 | Added article | TRJGBEBU1 | to existing topic ust5y
2025-09-03T21:02:05 | Node relationship created | us_sanctions_iranshipping->us_inflation | type=INFLUENCES
2025-09-03T21:02:05 | Replacement of article skipped | us_sanctions_iranshipping | tf=medium cnt=1 < 5
2025-09-03T21:02:05 | Added article | D7DC67Q52 | to existing topic us_sanctions_iranshipping
2025-09-03T21:02:17 | Node relationship removed | ust30y->uk_30yr_gilt_yield | type=CORRELATES_WITH
2025-09-03T21:02:17 | Node relationship created | ust30y->fed_rate_cut_sept17_2025 | type=CORRELATES_WITH
2025-09-03T21:02:17 | Replacement of article skipped | ust30y | no competing candidates in timeframe medium
2025-09-03T21:02:18 | Added article | TRJGBEBU1 | to existing topic ust30y
2025-09-03T21:04:32 | Node relationship removed | spx->usdcny | type=INFLUENCES
2025-09-03T21:04:32 | Node relationship created | spx->eurusd | type=INFLUENCES
2025-09-03T21:04:32 | Replacement of article skipped | spx | no competing candidates in timeframe medium
2025-09-03T21:04:32 | Added article | TRJGBEBU1 | to existing topic spx
2025-09-03T21:07:30 | Node relationship removed | dxy->us_crude_inventory | type=INFLUENCES
2025-09-03T21:07:30 | Relationship duplicate | fed_rate_cut_sept17_2025->dxy | type=INFLUENCES
2025-09-03T21:07:31 | Replacement of article skipped | dxy | no competing candidates in timeframe medium
2025-09-03T21:07:31 | Added article | TRJGBEBU1 | to existing topic dxy
2025-09-03T21:09:13 | Node relationship removed | ust10y->wti | type=INFLUENCES
2025-09-03T21:09:13 | Node relationship created | ust10y->jgb10y | type=INFLUENCES
2025-09-03T21:09:13 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T21:09:13 | Added article | 2TMBNCD82 | to existing topic ust10y
2025-09-03T21:10:19 | Relationship duplicate | oil_price_decline->dxy | type=INFLUENCES
2025-09-03T21:10:19 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T21:10:19 | Added article | 2TMBNCD82 | to existing topic dxy
2025-09-03T21:16:42 | Node relationship removed | spx->copper | type=CORRELATES_WITH
2025-09-03T21:16:42 | Node relationship created | spx->oil_price_decline | type=CORRELATES_WITH
2025-09-03T21:16:42 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T21:16:42 | Added article | 2TMBNCD82 | to existing topic spx
2025-09-03T21:16:43 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=ndx Error: Failed to fetch node from Neo4j: Node with id 'ndx' not found.
2025-09-03T21:16:43 | Replacement of article skipped | ndx | tf=current cnt=0 < 5
2025-09-03T21:16:43 | Added article | 2TMBNCD82 | to existing topic ndx
2025-09-03T21:17:05 | Node relationship removed | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:17:06 | Node relationship created | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T21:17:06 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T21:17:06 | Added article | E1QL4XQBE | to existing topic fed_policy
2025-09-03T21:18:48 | Node relationship removed | brent->eurusd | type=INFLUENCES
2025-09-03T21:18:49 | Node relationship created | brent->oil_price_decline | type=INFLUENCES
2025-09-03T21:18:49 | Replacement of article skipped | brent | no competing candidates in timeframe current
2025-09-03T21:18:49 | Added article | 2TMBNCD82 | to existing topic brent
2025-09-03T21:19:06 | Node relationship removed | fed_rate_cut_sept17_2025->us_services_pmi | type=INFLUENCES
2025-09-03T21:19:06 | Node relationship created | fed_rate_cut_sept17_2025->us_unemployment_claims | type=INFLUENCES
2025-09-03T21:19:07 | Replacement of article skipped | fed_rate_cut_sept17_2025 | no competing candidates in timeframe current
2025-09-03T21:19:07 | Added article | E1QL4XQBE | to existing topic fed_rate_cut_sept17_2025
2025-09-03T21:20:31 | Node relationship removed | wti->ust5y | type=INFLUENCES
2025-09-03T21:20:31 | Node relationship created | wti->ust5y | type=INFLUENCES
2025-09-03T21:20:31 | Replacement of article skipped | wti | no competing candidates in timeframe current
2025-09-03T21:20:32 | Added article | 2TMBNCD82 | to existing topic wti
2025-09-03T21:20:45 | Node relationship removed | fed_powell_rate_cut_hint_2025->fed_policy | type=INFLUENCES
2025-09-03T21:20:46 | Node relationship created | fed_powell_rate_cut_hint_2025->usdcny | type=INFLUENCES
2025-09-03T21:20:46 | Replacement of article skipped | fed_powell_rate_cut_hint_2025 | no competing candidates in timeframe current
2025-09-03T21:20:46 | Added article | E1QL4XQBE | to existing topic fed_powell_rate_cut_hint_2025
2025-09-03T21:26:41 | Node relationship removed | gold->fed_policy | type=INFLUENCES
2025-09-03T21:26:41 | Relationship duplicate | gold->ust30y | type=INFLUENCES
2025-09-03T21:26:41 | Replacement of article skipped | gold | no competing candidates in timeframe current
2025-09-03T21:26:41 | Added article | 2TMBNCD82 | to existing topic gold
2025-09-03T21:26:49 | Node relationship removed | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:26:50 | Node relationship created | us_inflation->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T21:26:50 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T21:26:50 | Added article | E1QL4XQBE | to existing topic us_inflation
2025-09-03T21:28:41 | Node relationship removed | copper->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:28:41 | Node relationship created | copper->ust2y | type=INFLUENCES
2025-09-03T21:28:41 | Replacement of article skipped | copper | no competing candidates in timeframe current
2025-09-03T21:28:42 | Added article | 2TMBNCD82 | to existing topic copper
2025-09-03T21:28:50 | Node relationship removed | us_core_pce->ust5y | type=INFLUENCES
2025-09-03T21:28:50 | Node relationship created | us_core_pce->ust5y | type=INFLUENCES
2025-09-03T21:28:50 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T21:28:51 | Added article | E1QL4XQBE | to existing topic us_core_pce
2025-09-03T21:30:50 | Node relationship removed | ust2y->gbpusd | type=INFLUENCES
2025-09-03T21:30:51 | Node relationship created | ust2y->us_unemployment_claims | type=INFLUENCES
2025-09-03T21:30:51 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T21:30:51 | Added article | 2TMBNCD82 | to existing topic ust2y
2025-09-03T21:31:00 | Node relationship removed | ust10y->us_services_pmi | type=CORRELATES_WITH
2025-09-03T21:31:00 | Node relationship created | ust10y->euro_inflation | type=CORRELATES_WITH
2025-09-03T21:31:00 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T21:31:00 | Added article | E1QL4XQBE | to existing topic ust10y
2025-09-03T21:31:48 | Node relationship created | ust5y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:31:48 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T21:31:48 | Added article | 2TMBNCD82 | to existing topic ust5y
2025-09-03T21:32:00 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T21:32:00 | Added article | E1QL4XQBE | to existing topic ust2y
2025-09-03T21:35:02 | Node relationship removed | ust30y->us_unemployment_claims | type=INFLUENCES
2025-09-03T21:35:03 | Relationship duplicate | fed_powell_rate_cut_hint_2025->ust30y | type=INFLUENCES
2025-09-03T21:35:03 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T21:35:03 | Added article | 2TMBNCD82 | to existing topic ust30y
2025-09-03T21:35:13 | Node relationship removed | ust30y->us_unemployment_claims | type=INFLUENCES
2025-09-03T21:35:13 | Node relationship created | ust30y->us_services_pmi | type=INFLUENCES
2025-09-03T21:35:13 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T21:35:13 | Added article | E1QL4XQBE | to existing topic ust30y
2025-09-03T21:37:16 | Node relationship removed | gilt10y->uk_30yr_gilt_yield | type=INFLUENCES
2025-09-03T21:37:16 | Node relationship created | gilt10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:37:17 | Replacement of article skipped | gilt10y | no competing candidates in timeframe current
2025-09-03T21:37:17 | Added article | 2TMBNCD82 | to existing topic gilt10y
2025-09-03T21:37:26 | Node relationship removed | ust5y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T21:37:26 | Node relationship created | ust5y->fed_policy | type=INFLUENCES
2025-09-03T21:37:27 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T21:37:27 | Added article | E1QL4XQBE | to existing topic ust5y
2025-09-03T21:39:56 | Node relationship created | uk_30yr_gilt_yield->ust2y | type=INFLUENCES
2025-09-03T21:39:57 | Replacement of article skipped | uk_30yr_gilt_yield | no competing candidates in timeframe current
2025-09-03T21:39:57 | Added article | 2TMBNCD82 | to existing topic uk_30yr_gilt_yield
2025-09-03T21:41:35 | Node relationship removed | spx->oil_price_decline | type=CORRELATES_WITH
2025-09-03T21:41:35 | Node relationship created | spx->copper | type=CORRELATES_WITH
2025-09-03T21:41:36 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T21:41:36 | Added article | E1QL4XQBE | to existing topic spx
2025-09-03T21:43:25 | Node relationship removed | us_inflation->eurusd | type=INFLUENCES
2025-09-03T21:43:25 | Node relationship created | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:43:25 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T21:43:25 | Added article | 2TMBNCD82 | to existing topic us_inflation
2025-09-03T21:43:41 | Node relationship created | dxy->sx5e | type=INFLUENCES
2025-09-03T21:43:41 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T21:43:42 | Added article | E1QL4XQBE | to existing topic dxy
2025-09-03T21:47:38 | Node relationship removed | us_core_pce->fed_policy | type=INFLUENCES
2025-09-03T21:47:39 | Node relationship created | us_core_pce->usdcny | type=INFLUENCES
2025-09-03T21:47:39 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T21:47:39 | Added article | 2TMBNCD82 | to existing topic us_core_pce
2025-09-03T21:47:51 | Replacement of article skipped | gold | no competing candidates in timeframe current
2025-09-03T21:47:52 | Added article | E1QL4XQBE | to existing topic gold
2025-09-03T21:49:27 | Node relationship removed | us_services_pmi->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:49:28 | Node relationship created | us_services_pmi->fed_policy | type=INFLUENCES
2025-09-03T21:49:28 | Replacement of article skipped | us_services_pmi | no competing candidates in timeframe current
2025-09-03T21:49:28 | Added article | 2TMBNCD82 | to existing topic us_services_pmi
2025-09-03T21:53:17 | Node relationship removed | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T21:53:17 | Node relationship created | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T21:53:17 | Replacement of article skipped | fed_policy | no competing candidates in timeframe fundamental
2025-09-03T21:53:17 | Added article | BIA1UOV3M | to existing topic fed_policy
2025-09-03T21:54:37 | Node relationship removed | ust10y->gilt10y | type=INFLUENCES
2025-09-03T21:54:37 | Node relationship created | ust10y->us_services_pmi | type=INFLUENCES
2025-09-03T21:54:37 | Replacement of article skipped | ust10y | no competing candidates in timeframe fundamental
2025-09-03T21:54:37 | Added article | BIA1UOV3M | to existing topic ust10y
2025-09-03T21:56:10 | Node relationship removed | oil_price_decline->us_crude_inventory | type=INFLUENCES
2025-09-03T21:56:10 | Node relationship created | oil_price_decline->fed_policy | type=INFLUENCES
2025-09-03T21:56:10 | Replacement of article skipped | oil_price_decline | tf=current cnt=3 < 5
2025-09-03T21:56:10 | Added article | 0SQYWNXK6 | to existing topic oil_price_decline
2025-09-03T21:57:04 | Retrieved articles | EURUSD | Retrieved 0 from API
2025-09-03T21:57:05 | Enrichment check | eurusd | section=fundamental
2025-09-03T21:57:05 | Enrichment check | eurusd | section=medium
2025-09-03T21:57:05 | Enrichment check | eurusd | section=current
2025-09-03T21:57:05 | Enrichment summary | topic=eurusd (EURUSD) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T21:57:05 | Pipeline complete | pipeline | run complete
2025-09-03T21:57:07 | Retrieved articles | US Inflation | Retrieved 10 from API
2025-09-03T21:57:22 | Node relationship removed | us_crude_inventory->oil_price_decline | type=INFLUENCES
2025-09-03T21:57:22 | Node relationship created | us_crude_inventory->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:57:22 | Replacement of article skipped | us_crude_inventory | tf=current cnt=1 < 5
2025-09-03T21:57:22 | Added article | 0SQYWNXK6 | to existing topic us_crude_inventory
2025-09-03T21:58:38 | Node relationship removed | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:58:38 | Node relationship created | us_inflation->ust30y | type=INFLUENCES
2025-09-03T21:58:38 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T21:58:38 | Added article | 0SQYWNXK6 | to existing topic us_inflation
2025-09-03T21:59:44 | Node relationship removed | us_core_pce->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T21:59:44 | Node relationship created | us_core_pce->fed_policy | type=INFLUENCES
2025-09-03T21:59:45 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T21:59:45 | Added article | 0SQYWNXK6 | to existing topic us_core_pce
2025-09-03T22:01:04 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T22:01:04 | Node relationship created | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
